<UNK> 1.0	SPN
A 1.0	ej
AABOT 1.0	6 6 b o t
AALALA 1.0	6 6 l a l a
AALAMIN 1.0	6 6 l a m i n
AALAS 1.0	6 6 l a s
AASAHAN 1.0	6 6 s a h a n
ABRA 1.0	6 b r a
ABRIL 1.0	6 b r i l
ABS 1.0	ej b i e s
ABS-CBN 1.0	ej b i e s s i b i e n
ACCOUNT 1.0	6 k a w n t
ACTUALLY 1.0	6 k t U a l i
ADMINISTRATIVE 1.0	6 d m i n i s t r a t I v
AFTERNOON 1.0	6 f t e r n U n
AGUSAN 1.0	6 g u s a n
AGWAT 1.0	6 g w a t
AH 1.0	6
AIR 1.0	ej r
AKLAN 1.0	6 k l a n
AKO 1.0	6 k o
ALA 1.0	6 l a
ALABAT 1.0	6 l a b a t
ALAMIN 1.0	6 l a m i n
ALAS 1.0	6 l a s
ALINSANGAN 1.0	6 l i n s a N a n
ALON 1.0	6 l o n
AM 1.0	e m
AMA 1.0	6 m a
AMIHAN 1.0	6 m i h a n
AN 1.0	6 n
ANC 1.0	ej e n s i
AND 1.0	e n d
ANG 1.0	6 N
ANGAT 1.0	6 N a t
ANO 1.0	6 n o
ANONG 1.0	6 n o N
ANTIQUE 1.0	6 n t I k
ANUMANG 1.0	6 n u m a N
ANYOS 1.0	6 n j o s
APARRI 1.0	6 p a r i
APAYAO 1.0	6 p 6 j aw
APEKTADO 1.0	6 p e k t a d o
ARAW 1.0	6 r aw
AREA 1.0	ej r i j a
AS 1.0	6 s
ASAHAN 1.0	6 s 6 h a n
ASAHANG 1.0	6 s 6 h a N
ASUL 1.0	6 s u l
AT 1.0	6 t
ATIN 1.0	6 t I n
ATING 1.0	6 t I N
AURORA 1.0	a o r o r a 
AURORAT 1.0	a o r o r a t
AWAY 1.0	6 w 6j
AXIS 1.0	a k s i s
AY 1.0	6j
AYON 1.0	6 j o n
B 1.0	b i
BA 1.0	b 6
BABA 1.0	b 6 b 6
BABALA 1.0	b 6 b 6 l a
BABALIK 1.0	b 6 b 6 l i k
BABAYBAYIN 1.0	b 6 b 6j b 6j i n
BABUYAN 1.0	b 6 b u j a n
BACOLOD 1.0	b 6 k o l o d
BAGAMAT 1.0	b 6 g 6 m a t
BAGO 1.0	b 6 g o
BAGONG 1.0	b 6 g o N
BAGUIO 1.0	b 6 g I j o
BAGYO 1.0	b 6 g j o
BAGYONG 1.0	b 6 g j o N
BAHA 1.0	b 6 h a
BAHAGI 1.0	b 6 h a g i
BAHAGING 1.0	b 6 h a g i N
BAHAGYANG 1.0	b 6 h a g j a N
BAHAY 1.0	b 6 h 6j
BAKIT 1.0	b 6 k i t
BALER 1.0	b 6 l e r
BALITA 1.0	b 6 l i t a
